"start_time","end_time","o3","flag_o3","o3std","flag_o3std","jd","day","time.dec","time","hour","min","date"
9.333333,9.375,42.9,0.39,7.1,0.39,9,2018-01-10,0.333333,480.009519999999,8,0,2018-01-10 08:00:00
9.375,9.416667,43.1,0,4.6,0,9,2018-01-10,0.375,540.01,9,0,2018-01-10 09:00:00
9.416667,9.458333,41.8,0,6,0,9,2018-01-10,0.416667,600.01048,10,0,2018-01-10 10:00:00
9.458333,9.5,39.4,0,3.4,0,9,2018-01-10,0.458333,660.009519999999,11,0,2018-01-10 11:00:00
9.5,9.541667,44.6,0,1.7,0,9,2018-01-10,0.5,720.01,12,0,2018-01-10 12:00:00
9.541667,9.583333,45.7,0,1,0,9,2018-01-10,0.541667,780.01048,13,0,2018-01-10 13:00:00
9.583333,9.625,43.3,0,1.3,0,9,2018-01-10,0.583333,840.009519999999,14,0,2018-01-10 14:00:00
9.625,9.666667,44.5,0,1.6,0,9,2018-01-10,0.625,900.01,15,0,2018-01-10 15:00:00
9.666667,9.708333,45,0,1.1,0,9,2018-01-10,0.666667,960.01048,16,0,2018-01-10 16:00:00
9.708333,9.75,44.4,0,1.8,0,9,2018-01-10,0.708333,1020.00952,17,0,2018-01-10 17:00:00
9.75,9.791667,46,0,0.8,0,9,2018-01-10,0.75,1080.01,18,0,2018-01-10 18:00:00
9.791667,9.833333,44.4,0,1.1,0,9,2018-01-10,0.791667,1140.01048,19,0,2018-01-10 19:00:00
9.833333,9.875,44.6,0,1,0,9,2018-01-10,0.833333,1200.00952,20,0,2018-01-10 20:00:00
9.875,9.916667,44.6,0,0.8,0,9,2018-01-10,0.875,1260.01,21,0,2018-01-10 21:00:00
9.916667,9.958333,45.4,0,0.3,0,9,2018-01-10,0.916667,1320.01048,22,0,2018-01-10 22:00:00
9.958333,10,45.2,0,0.3,0,9,2018-01-10,0.958333,1380.00952,23,0,2018-01-10 23:00:00
